Core	CPU	C1%	C3%	C6%	C8%	C9%
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.11	3.04	14.89	15.29	0.14
0	0	0.01	0.26	20.57	5.10	0.00
0	4	0.00	0.11	16.98	17.53	0.00
1	1	0.25	7.52	13.32	16.71	0.00
1	5	0.54	15.74	7.47	4.65	0.00
2	2	0.00	0.10	16.24	16.66	0.00
2	6	0.13	0.32	14.73	17.60	0.00
3	3	0.00	0.15	16.04	21.07	0.00
3	7	0.00	0.12	13.91	23.11	1.10
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.13	3.80	23.07	22.26	0.02
0	0	0.11	0.37	29.41	13.61	0.01
0	4	0.01	4.15	20.06	22.71	0.00
1	1	0.57	13.12	17.72	23.28	0.01
1	5	0.07	1.33	27.32	21.59	0.00
2	2	0.00	0.31	24.23	32.77	0.00
2	6	0.00	0.31	22.41	28.06	0.11
3	3	0.30	10.31	18.42	16.69	0.00
3	7	0.00	0.43	24.78	19.20	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.06	3.59	23.20	23.15	0.01
0	0	0.10	4.52	31.27	8.32	0.00
0	4	0.23	19.38	12.35	6.82	0.00
1	1	0.06	3.03	23.65	40.45	0.00
1	5	0.00	0.13	24.18	26.65	0.00
2	2	0.00	0.23	24.68	25.76	0.00
2	6	0.00	0.15	24.95	28.43	0.06
3	3	0.06	1.11	20.78	23.40	0.00
3	7	0.00	0.18	23.76	25.36	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.07	3.81	21.13	22.02	0.01
0	0	0.01	10.10	23.52	9.71	0.01
0	4	0.01	6.85	19.48	18.82	0.00
1	1	0.01	0.13	23.67	31.30	0.00
1	5	0.00	0.11	21.94	22.83	0.00
2	2	0.14	4.39	20.00	15.79	0.05
2	6	0.35	8.75	17.41	19.76	0.02
3	3	0.01	0.10	21.19	25.33	0.00
3	7	0.00	0.13	22.07	32.84	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.07	3.72	22.82	24.50	0.02
0	0	0.14	24.02	11.86	5.14	0.00
0	4	0.00	0.20	28.25	22.18	0.00
1	1	0.00	0.31	24.75	28.35	0.00
1	5	0.00	0.32	25.58	20.28	0.00
2	2	0.00	0.33	23.16	27.83	0.00
2	6	0.14	2.93	19.99	44.04	0.12
3	3	0.03	0.37	23.58	24.04	0.00
3	7	0.23	1.31	25.20	23.93	0.02
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.13	2.08	25.23	24.41	0.06
0	0	0.02	4.36	28.94	16.13	0.00
0	4	0.22	1.42	26.15	20.12	0.00
1	1	0.09	0.47	28.72	26.45	0.00
1	5	0.36	3.54	17.07	16.16	0.00
2	2	0.20	1.86	24.99	21.77	0.00
2	6	0.14	4.09	24.35	30.68	0.06
3	3	0.00	0.18	26.24	31.75	0.41
3	7	0.00	0.71	25.33	32.18	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.07	3.83	22.65	20.85	0.06
0	0	0.01	10.86	22.68	6.84	0.01
0	4	0.01	0.22	22.42	21.57	0.00
1	1	0.09	3.32	23.33	16.23	0.46
1	5	0.08	2.48	23.91	18.05	0.00
2	2	0.07	3.33	22.13	19.38	0.00
2	6	0.11	4.61	21.52	22.12	0.00
3	3	0.23	5.58	20.96	42.10	0.00
3	7	0.00	0.25	24.15	20.45	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.14	3.41	23.31	23.16	0.02
0	0	0.00	3.60	28.91	13.87	0.02
0	4	0.00	0.44	26.33	22.77	0.00
1	1	0.10	0.66	27.42	32.70	0.00
1	5	0.13	0.58	22.19	22.57	0.00
2	2	0.00	0.36	25.12	28.43	0.00
2	6	0.10	0.33	22.59	37.52	0.06
3	3	0.80	20.95	8.01	4.62	0.08
3	7	0.00	0.39	25.95	22.82	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.07	3.93	22.71	21.86	0.01
0	0	0.01	10.42	24.85	7.97	0.00
0	4	0.01	7.99	20.32	18.59	0.00
1	1	0.41	11.38	19.09	10.77	0.00
1	5	0.10	0.14	24.56	22.08	0.00
2	2	0.01	0.28	24.75	34.99	0.00
2	6	0.00	0.15	21.03	29.81	0.06
3	3	0.00	0.95	24.46	25.85	0.00
3	7	0.00	0.16	22.59	24.80	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	3.94	21.64	23.72	0.17
0	0	0.02	15.19	20.26	2.88	0.00
0	4	0.00	12.98	18.62	20.52	0.00
1	1	0.01	0.25	22.35	23.98	0.00
1	5	0.00	0.35	24.95	33.49	0.00
2	2	0.01	0.22	21.54	22.60	0.00
2	6	0.01	0.20	21.12	34.67	1.33
3	3	0.00	0.19	21.58	25.14	0.00
3	7	0.00	2.12	22.70	26.46	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.06	2.74	13.72	13.13	0.01
0	0	0.00	0.26	18.34	5.69	0.05
0	4	0.01	6.92	12.26	12.56	0.00
1	1	0.00	0.17	12.21	13.26	0.00
1	5	0.04	0.15	13.68	20.97	0.00
2	2	0.24	5.32	13.68	13.87	0.00
2	6	0.19	8.70	11.25	12.61	0.00
3	3	0.00	0.22	14.07	13.72	0.00
3	7	0.00	0.17	14.27	12.36	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.27	3.82	22.80	21.30	0.06
0	0	0.01	4.79	29.00	27.19	0.02
0	4	0.20	5.52	20.15	18.53	0.00
1	1	0.00	0.15	21.49	23.05	0.00
1	5	0.00	0.18	24.75	25.96	0.00
2	2	0.72	5.62	22.68	16.35	0.00
2	6	1.23	13.83	15.80	13.64	0.45
3	3	0.00	0.18	23.07	27.38	0.00
3	7	0.00	0.31	25.42	18.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	3.86	22.90	21.47	0.01
0	0	0.01	1.66	34.34	12.10	0.00
0	4	0.27	25.11	8.64	4.30	0.00
1	1	0.00	0.31	22.18	21.72	0.00
1	5	0.20	0.76	21.60	31.63	0.00
2	2	0.00	0.45	24.87	20.34	0.00
2	6	0.00	0.25	23.56	31.78	0.07
3	3	0.21	1.94	22.88	25.64	0.00
3	7	0.07	0.44	25.15	24.24	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	3.85	23.36	21.04	0.00
0	0	0.09	1.57	33.19	22.02	0.00
0	4	0.00	0.18	23.03	27.15	0.00
1	1	0.18	7.68	22.82	16.77	0.00
1	5	0.06	1.51	23.62	17.09	0.00
2	2	0.00	0.20	21.66	18.82	0.00
2	6	0.00	0.21	22.42	19.66	0.00
3	3	0.64	19.21	10.73	8.75	0.00
3	7	0.01	0.26	29.48	38.10	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.15	3.55	21.98	22.59	0.01
0	0	0.00	0.57	32.61	14.18	0.04
0	4	0.00	2.48	22.86	29.32	0.00
1	1	0.00	0.33	18.76	27.79	0.00
1	5	0.00	0.23	21.00	26.90	0.00
2	2	0.00	0.31	21.90	26.78	0.00
2	6	0.13	0.32	20.87	27.01	0.00
3	3	1.03	23.93	8.38	1.94	0.00
3	7	0.00	0.23	29.39	26.78	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.15	2.50	15.76	14.44	0.32
0	0	0.00	2.09	21.25	6.55	0.00
0	4	0.00	2.46	12.45	15.90	0.65
1	1	0.29	6.98	14.23	18.00	1.01
1	5	0.88	7.83	11.95	8.18	0.00
2	2	0.00	0.14	17.15	18.45	0.00
2	6	0.00	0.16	16.69	13.60	0.00
3	3	0.01	0.15	16.42	16.05	0.91
3	7	0.01	0.21	15.90	18.79	0.01
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.14	3.79	21.96	21.76	0.18
0	0	0.01	0.50	30.39	18.63	1.38
0	4	0.00	0.21	21.40	38.79	0.00
1	1	0.09	1.24	23.00	23.78	0.00
1	5	0.53	14.61	13.74	11.48	0.00
2	2	0.00	0.28	23.11	26.59	0.00
2	6	0.00	0.34	22.97	17.47	0.06
3	3	0.43	12.97	15.72	12.57	0.00
3	7	0.08	0.22	25.55	24.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.09	3.55	22.63	22.52	0.05
0	0	0.01	2.58	32.59	13.75	0.00
0	4	0.34	9.52	16.25	14.28	0.02
1	1	0.00	0.27	22.27	33.01	0.00
1	5	0.01	0.29	23.03	33.43	0.00
2	2	0.00	0.24	21.04	22.26	0.00
2	6	0.00	0.32	24.26	21.16	0.11
3	3	0.38	14.95	16.83	20.75	0.29
3	7	0.00	0.23	24.62	21.37	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	3.73	23.09	22.63	0.13
0	0	0.01	2.12	33.05	17.97	0.00
0	4	0.02	19.18	15.42	5.91	0.00
1	1	0.15	4.65	20.69	33.61	0.00
1	5	0.00	0.16	24.21	21.97	0.00
2	2	0.00	0.24	21.76	21.88	0.00
2	6	0.00	0.30	24.41	24.99	0.05
3	3	0.19	2.99	20.55	22.45	0.00
3	7	0.01	0.25	24.70	32.34	1.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.17	3.82	23.31	22.02	0.03
0	0	0.01	16.86	18.54	7.21	0.25
0	4	0.09	5.72	21.47	16.54	0.00
1	1	0.83	0.37	25.80	27.49	0.00
1	5	0.00	0.41	25.51	20.85	0.00
2	2	0.00	0.26	25.26	32.69	0.00
2	6	0.00	0.30	25.08	21.87	0.00
3	3	0.42	4.11	18.73	19.10	0.00
3	7	0.01	2.60	26.32	30.60	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	2.58	16.34	16.29	0.00
0	0	0.01	13.95	15.89	2.67	0.00
0	4	0.08	4.16	11.95	9.04	0.00
1	1	0.00	0.23	17.82	20.22	0.00
1	5	0.00	0.14	19.29	13.22	0.00
2	2	0.00	0.18	16.29	17.70	0.00
2	6	0.00	0.39	16.68	16.21	0.00
3	3	0.01	0.22	17.27	29.00	0.00
3	7	0.01	1.37	15.30	22.01	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.06	3.92	22.15	21.80	0.00
0	0	0.00	0.54	32.58	15.46	0.00
0	4	0.22	22.11	11.53	9.48	0.00
1	1	0.00	0.34	22.44	22.34	0.00
1	5	0.03	0.31	22.37	24.21	0.00
2	2	0.00	1.37	23.30	27.33	0.00
2	6	0.00	0.19	23.48	19.49	0.00
3	3	0.18	6.34	18.59	32.76	0.00
3	7	0.01	0.22	23.34	23.75	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	3.57	22.08	23.52	0.00
0	0	0.00	3.46	30.33	13.42	0.00
0	4	0.13	6.92	19.58	28.04	0.00
1	1	0.00	0.18	21.00	30.65	0.00
1	5	0.00	0.21	20.30	29.11	0.00
2	2	0.00	1.36	22.34	24.76	0.00
2	6	0.00	0.20	22.55	25.29	0.00
3	3	0.65	14.86	15.45	10.20	0.00
3	7	0.04	1.29	24.61	26.12	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.09	3.77	22.56	21.16	0.02
0	0	0.02	7.26	29.07	20.21	0.18
0	4	0.00	1.27	23.76	19.63	0.00
1	1	0.34	5.33	20.47	26.07	0.00
1	5	0.18	6.84	18.07	16.09	0.00
2	2	0.01	0.24	24.26	21.62	0.00
2	6	0.01	0.31	23.22	21.33	0.00
3	3	0.18	7.57	19.09	23.47	0.00
3	7	0.01	1.34	22.55	20.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.05	3.60	21.43	21.89	0.01
0	0	0.02	18.11	18.17	4.20	0.05
0	4	0.00	0.12	23.63	21.69	0.00
1	1	0.34	8.92	17.00	13.90	0.00
1	5	0.00	0.15	22.70	23.25	0.00
2	2	0.00	0.22	24.44	23.69	0.00
2	6	0.00	0.20	20.98	25.38	0.00
3	3	0.02	0.92	21.62	34.15	0.00
3	7	0.00	0.20	22.90	28.92	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.07	2.85	16.36	15.23	0.55
0	0	0.01	0.36	21.90	8.67	3.95
0	4	0.00	0.15	16.84	14.27	0.00
1	1	0.00	0.22	17.11	12.87	0.00
1	5	0.48	18.46	5.34	0.89	0.49
2	2	0.10	3.08	17.38	30.62	0.00
2	6	0.00	0.17	15.90	17.09	0.00
3	3	0.00	0.19	17.87	21.08	0.00
3	7	0.00	0.18	18.57	16.33	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.17	3.52	21.40	20.87	0.01
0	0	0.00	0.32	28.94	7.41	0.00
0	4	0.00	0.19	20.35	29.36	0.00
1	1	0.09	0.26	23.31	22.11	0.00
1	5	1.09	23.32	8.58	4.49	0.00
2	2	0.01	0.24	22.32	25.61	0.00
2	6	0.00	0.26	22.61	35.50	0.09
3	3	0.18	3.40	20.12	20.79	0.00
3	7	0.01	0.20	24.99	21.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	3.80	21.29	21.33	0.00
0	0	0.00	0.46	32.64	9.79	0.01
0	4	0.00	0.12	21.33	27.77	0.00
1	1	0.14	4.48	19.55	23.71	0.00
1	5	0.26	10.40	14.46	13.74	0.00
2	2	0.00	0.36	20.51	23.05	0.00
2	6	0.00	0.34	22.49	22.39	0.00
3	3	0.55	13.95	14.34	18.27	0.00
3	7	0.00	0.27	25.01	31.95	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.11	3.31	23.27	21.27	0.02
0	0	0.01	1.13	32.04	12.25	0.03
0	4	0.00	8.70	19.50	22.60	0.00
1	1	0.27	2.24	22.26	17.01	0.15
1	5	0.55	12.39	17.25	9.75	0.00
2	2	0.00	0.22	23.04	31.14	0.00
2	6	0.01	0.18	23.50	19.03	0.00
3	3	0.00	0.21	24.12	25.83	0.00
3	7	0.00	1.37	24.42	32.51	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.15	3.61	21.68	22.26	0.12
0	0	0.01	0.56	34.00	20.84	0.00
0	4	0.00	0.18	22.34	25.08	0.00
1	1	0.55	13.84	16.16	11.12	0.94
1	5	0.62	13.27	15.41	10.87	0.00
2	2	0.00	0.23	22.24	23.83	0.00
2	6	0.01	0.23	21.21	30.70	0.00
3	3	0.00	0.33	22.61	29.10	0.00
3	7	0.00	0.26	19.60	26.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.08	2.26	13.01	14.24	0.61
0	0	0.01	0.23	16.05	16.94	0.00
0	4	0.01	1.85	12.15	9.74	0.00
1	1	0.25	5.47	13.17	22.11	0.00
1	5	0.23	6.11	11.75	8.01	4.58
2	2	0.01	0.13	14.31	25.20	0.00
2	6	0.16	4.14	10.12	8.21	0.29
3	3	0.00	0.06	12.78	12.65	0.00
3	7	0.01	0.06	13.81	11.16	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.30	3.75	22.50	21.81	0.01
0	0	0.01	0.42	31.15	22.70	0.00
0	4	0.24	15.90	11.99	16.46	0.00
1	1	1.18	10.41	15.85	16.01	0.00
1	5	0.48	2.19	22.71	16.77	0.00
2	2	0.00	0.25	26.34	21.12	0.00
2	6	0.00	0.34	25.20	21.00	0.10
3	3	0.02	0.24	23.05	35.04	0.00
3	7	0.48	0.20	23.58	25.26	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.07	4.47	21.48	23.11	0.02
0	0	0.11	21.96	14.98	1.86	0.00
0	4	0.01	10.45	18.29	15.66	0.00
1	1	0.00	1.00	20.79	24.12	0.00
1	5	0.25	0.35	21.37	21.33	0.00
2	2	0.00	1.12	25.62	31.54	0.00
2	6	0.00	0.38	22.60	22.27	0.17
3	3	0.19	0.29	22.17	30.52	0.00
3	7	0.00	0.27	26.07	37.62	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	3.42	22.06	23.08	0.23
0	0	0.00	1.35	31.79	10.32	1.38
0	4	0.03	10.70	14.88	23.59	0.00
1	1	0.35	4.16	18.46	25.67	0.44
1	5	0.00	0.09	20.44	25.13	0.00
2	2	0.25	7.75	22.04	18.25	0.00
2	6	0.11	1.92	23.60	28.68	0.03
3	3	0.05	1.18	22.89	25.81	0.00
3	7	0.00	0.21	22.24	27.12	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	3.81	22.46	21.47	0.00
0	0	0.01	0.64	34.75	21.81	0.00
0	4	0.09	6.17	21.50	14.96	0.00
1	1	0.00	0.16	25.17	21.68	0.00
1	5	0.66	19.78	9.93	10.51	0.00
2	2	0.00	0.16	23.47	29.33	0.00
2	6	0.00	0.16	22.11	20.85	0.00
3	3	0.17	3.25	19.85	24.36	0.00
3	7	0.00	0.15	23.06	28.37	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	3.21	16.06	16.32	0.03
0	0	0.01	15.27	11.82	2.21	0.21
0	4	0.00	5.03	16.44	10.77	0.00
1	1	0.14	2.59	16.32	21.08	0.00
1	5	0.04	0.07	14.27	17.05	0.00
2	2	0.00	0.10	16.36	23.76	0.00
2	6	0.04	0.33	15.91	14.95	0.06
3	3	0.01	0.14	19.43	24.40	0.00
3	7	0.04	2.11	17.83	16.25	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	4.37	22.26	22.63	0.11
0	0	0.02	24.50	10.22	0.54	0.00
0	4	0.01	4.72	27.03	21.25	0.00
1	1	0.00	0.16	24.02	35.11	0.00
1	5	0.00	0.17	22.81	28.74	0.00
2	2	0.01	0.20	23.52	24.39	0.00
2	6	0.00	2.10	22.90	19.35	0.00
3	3	0.19	1.05	23.88	24.28	0.79
3	7	0.00	2.05	23.70	27.39	0.12
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.08	4.01	21.50	22.38	0.02
0	0	0.01	5.14	29.63	11.00	0.02
0	4	0.00	9.86	17.81	12.10	0.00
1	1	0.21	4.26	19.02	22.68	0.00
1	5	0.09	2.65	20.61	29.90	0.00
2	2	0.00	0.32	22.59	26.73	0.00
2	6	0.00	0.36	20.48	34.57	0.11
3	3	0.30	7.94	16.29	15.96	0.00
3	7	0.00	1.54	25.57	26.11	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.12	3.36	22.46	22.07	0.04
0	0	0.00	6.33	25.87	15.10	0.00
