Core	CPU	C1%	C3%	C6%	C8%	C9%
3	3	0.00	0.61	77.18	10.72	0.00
3	7	0.01	3.65	62.65	8.56	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.68	72.08	16.03	0.00
0	0	0.01	0.58	73.41	15.44	0.00
0	4	0.01	0.52	70.76	19.84	0.00
1	1	0.01	0.28	74.42	15.63	0.00
1	5	0.00	0.44	71.22	19.63	0.00
2	2	0.01	0.58	70.04	19.87	0.00
2	6	0.00	0.34	70.27	20.64	0.00
3	3	0.00	0.45	79.82	10.23	0.00
3	7	0.02	2.25	66.52	6.91	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.81	72.12	15.68	0.00
0	0	0.01	0.54	72.76	16.12	0.00
0	4	0.00	0.64	71.59	18.90	0.00
1	1	0.02	0.71	74.13	15.04	0.00
1	5	0.00	0.41	71.14	19.72	0.00
2	2	0.01	0.58	71.08	18.76	0.00
2	6	0.01	0.35	70.06	20.83	0.00
3	3	0.00	0.53	80.75	9.24	0.00
3	7	0.01	2.72	65.96	6.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.66	72.19	15.98	0.00
0	0	0.01	0.28	77.27	11.75	0.00
0	4	0.00	0.56	72.38	18.29	0.00
1	1	0.01	0.51	75.28	14.72	0.00
1	5	0.00	0.27	72.08	18.72	0.00
2	2	0.00	0.45	68.30	21.66	0.00
2	6	0.01	0.61	69.92	20.82	0.00
3	3	0.01	0.47	78.94	11.09	0.00
3	7	0.01	2.13	62.80	10.66	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	0.74	70.88	16.94	0.00
0	0	0.00	0.60	73.50	15.26	0.00
0	4	0.01	0.47	71.38	19.19	0.00
1	1	0.01	0.39	71.23	18.65	0.00
1	5	0.00	0.54	70.77	19.93	0.00
2	2	0.01	0.56	69.39	20.45	0.00
2	6	0.00	0.48	69.39	21.29	0.00
3	3	0.00	0.65	78.39	11.42	0.00
3	7	0.21	2.21	63.59	9.44	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.08	69.39	17.06	0.00
0	0	0.00	0.41	73.34	14.05	0.00
0	4	0.00	0.58	69.09	20.00	0.00
1	1	0.01	0.40	72.08	17.50	0.00
1	5	0.00	2.07	68.50	18.72	0.00
2	2	0.01	0.50	67.06	22.00	0.00
2	6	0.00	0.51	67.75	21.28	0.00
3	3	0.01	0.59	76.19	12.31	0.00
3	7	0.01	3.60	60.86	10.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.69	72.69	15.40	0.00
0	0	0.01	0.70	72.02	16.84	0.00
0	4	0.01	0.41	70.23	20.50	0.00
1	1	0.02	0.23	74.92	15.11	0.00
