Core	CPU	C1%	C3%	C6%	C8%	C9%
2	6	0.66	10.27	47.23	8.94	0.00
3	3	0.53	7.09	53.33	10.80	0.00
3	7	0.11	7.08	52.52	12.87	0.01
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.92	8.17	49.73	10.57	0.13
0	0	0.68	9.38	50.40	10.23	0.00
0	4	0.81	6.70	48.74	7.94	0.01
1	1	0.69	7.97	52.08	12.41	0.00
1	5	1.34	8.44	51.89	11.51	0.00
2	2	0.75	6.51	47.26	12.75	0.02
2	6	1.12	9.92	48.85	6.79	1.01
3	3	1.15	9.09	48.56	10.23	0.00
3	7	0.78	7.36	50.13	12.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.76	10.28	50.62	5.99	0.04
0	0	1.49	11.60	47.49	4.92	0.00
0	4	0.61	8.96	53.94	7.06	0.00
1	1	0.95	8.48	53.13	7.80	0.00
1	5	0.88	9.57	54.46	7.06	0.00
2	2	0.54	11.24	51.81	3.12	0.00
2	6	0.65	12.51	42.46	6.84	0.28
3	3	0.52	10.86	52.17	3.02	0.00
3	7	0.48	9.00	49.55	8.08	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.61	8.36	53.09	8.11	0.09
0	0	0.88	7.47	47.53	10.62	0.04
0	4	0.73	8.48	55.21	7.11	0.00
1	1	0.45	9.18	57.03	6.85	0.00
1	5	0.54	8.30	56.67	7.29	0.00
2	2	0.63	8.09	54.44	5.50	0.00
2	6	0.58	10.32	46.98	8.24	0.64
3	3	0.76	8.35	53.02	7.29	0.00
3	7	0.34	6.63	53.78	11.95	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.67	8.71	52.83	7.56	0.04
0	0	1.18	8.73	50.90	6.27	0.03
0	4	0.36	7.87	56.34	8.73	0.01
1	1	0.63	8.65	51.89	8.71	0.00
1	5	0.75	8.62	56.68	4.19	0.00
2	2	0.75	7.17	51.99	8.28	0.00
2	6	0.65	12.05	47.97	5.06	0.29
3	3	0.42	7.83	56.06	7.69	0.01
3	7	0.63	8.81	51.04	11.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.90	10.36	47.53	10.01	0.08
0	0	1.05	10.28	50.18	11.11	0.00
0	4	0.64	9.90	48.33	11.11	0.01
1	1	0.65	10.58	48.69	10.87	0.00
1	5	1.11	9.81	45.76	11.42	0.36
2	2	0.85	9.75	49.24	11.15	0.00
2	6	1.08	12.44	37.34	2.65	0.27
3	3	0.99	10.42	49.54	10.61	0.00
3	7	0.84	9.61	50.80	11.07	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
