Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.55	7.70	13.90	1.92
0	0	0.02	4.30	53.77	13.55	0.00
0	4	0.00	0.04	1.07	0.51	15.37
1	1	0.00	0.00	0.41	3.49	0.00
1	5	0.00	0.00	0.36	0.79	0.00
2	2	0.00	0.03	4.73	91.09	0.00
2	6	0.00	0.00	0.14	0.58	0.00
3	3	0.00	0.02	0.67	0.40	0.00
3	7	0.00	0.00	0.44	0.78	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.25	7.69	14.36	0.65
0	0	0.01	2.02	54.11	16.05	0.00
0	4	0.00	0.00	1.20	0.00	5.19
1	1	0.00	0.00	0.19	0.89	0.00
1	5	0.00	0.00	0.27	1.28	0.00
2	2	0.00	0.00	4.82	93.60	0.00
2	6	0.00	0.00	0.14	0.99	0.00
3	3	0.00	0.02	0.39	0.90	0.00
3	7	0.00	0.00	0.39	1.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.39	7.98	14.48	1.01
0	0	0.01	2.95	53.81	15.47	0.00
0	4	0.00	0.03	1.32	0.28	8.06
1	1	0.08	0.03	2.43	26.94	0.00
1	5	0.09	0.00	0.87	1.38	0.00
2	2	0.00	0.10	4.22	69.26	0.00
2	6	0.00	0.00	0.28	1.57	0.00
3	3	0.00	0.00	0.55	0.10	0.00
3	7	0.00	0.00	0.33	0.88	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.27	7.81	14.24	0.20
0	0	0.02	2.11	53.39	16.64	0.00
0	4	0.00	0.02	1.36	0.10	1.59
1	1	0.00	0.00	1.42	4.42	0.00
1	5	0.00	0.00	0.24	1.09	0.00
2	2	0.00	0.03	5.31	88.34	0.00
2	6	0.00	0.00	0.25	1.38	0.00
3	3	0.00	0.00	0.18	0.99	0.00
3	7	0.00	0.00	0.36	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.35	8.39	14.75	0.46
0	0	0.01	2.72	58.24	11.45	0.00
0	4	0.00	0.03	0.79	1.10	3.69
1	1	0.00	0.00	1.97	8.53	0.00
1	5	0.00	0.00	0.36	0.79	0.00
2	2	0.00	0.00	4.63	93.85	0.00
2	6	0.00	0.00	0.34	1.18	0.00
3	3	0.00	0.02	0.49	0.30	0.00
3	7	0.00	0.00	0.30	0.79	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.59	8.84	12.79	0.44
0	0	0.01	0.63	16.59	6.47	0.01
0	4	0.00	0.03	2.21	0.82	0.00
1	1	0.05	12.00	45.63	0.99	0.00
1	5	0.00	0.00	0.10	0.99	0.00
2	2	0.00	0.00	5.27	90.97	0.00
2	6	0.00	0.03	0.52	0.20	0.00
3	3	0.00	0.00	0.33	0.89	0.00
3	7	0.01	0.02	0.10	0.99	3.48
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	1.88	9.49	12.51	0.58
0	0	0.00	0.27	12.80	3.28	0.13
0	4	0.00	0.01	1.07	0.40	4.49
1	1	0.04	14.72	55.44	0.00	0.00
1	5	0.00	0.00	0.31	1.19	0.00
2	2	0.00	0.01	5.41	93.22	0.00
2	6	0.00	0.00	0.09	0.99	0.00
3	3	0.00	0.00	0.28	0.79	0.00
3	7	0.00	0.00	0.54	0.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	1.22	8.67	13.52	0.32
0	0	0.01	2.13	31.17	8.82	0.01
0	4	0.00	0.01	1.04	0.40	2.53
1	1	0.03	7.59	31.33	20.15	0.00
1	5	0.00	0.00	0.35	0.81	0.00
2	2	0.00	0.00	4.38	74.90	0.00
2	6	0.00	0.02	0.43	1.20	0.00
3	3	0.00	0.02	0.28	0.90	0.00
3	7	0.00	0.01	0.39	1.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.31	8.06	13.99	0.42
0	0	0.01	2.35	55.43	14.39	0.00
0	4	0.00	0.07	1.28	0.79	3.39
1	1	0.00	0.00	5.01	93.37	0.00
1	5	0.00	0.02	0.89	0.30	0.00
2	2	0.00	0.00	0.40	0.79	0.00
2	6	0.00	0.00	0.38	0.89	0.00
3	3	0.00	0.00	0.37	0.69	0.00
3	7	0.00	0.00	0.73	0.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.28	7.91	14.06	0.71
0	0	0.01	2.25	56.12	13.86	0.00
0	4	0.00	0.02	1.07	0.22	5.66
1	1	0.00	0.00	4.24	94.16	0.00
1	5	0.00	0.00	0.63	0.19	0.00
2	2	0.00	0.00	0.32	0.79	0.00
2	6	0.00	0.00	0.33	1.09	0.00
3	3	0.00	0.00	0.20	1.08	0.00
3	7	0.00	0.00	0.37	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.57	7.88	13.87	2.18
0	0	0.01	4.48	55.45	11.82	0.00
0	4	0.00	0.04	1.06	0.40	17.44
1	1	0.00	0.00	4.97	91.09	0.00
1	5	0.00	0.00	0.55	0.80	0.00
2	2	0.00	0.00	0.26	4.26	0.00
2	6	0.00	0.00	0.30	0.98	0.00
3	3	0.00	0.02	0.20	0.90	0.00
3	7	0.00	0.00	0.29	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.21	7.25	15.10	0.15
0	0	0.02	1.62	50.33	20.04	0.00
0	4	0.00	0.00	0.72	1.41	1.21
1	1	0.00	0.03	5.17	93.14	0.00
1	5	0.00	0.00	0.18	1.10	0.00
2	2	0.00	0.00	0.28	0.79	0.00
2	6	0.00	0.02	0.54	1.77	0.00
3	3	0.00	0.00	0.63	1.59	0.00
3	7	0.00	0.00	0.13	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.36	7.50	14.43	0.00
0	0	0.02	2.84	52.71	16.71	0.00
0	4	0.00	0.00	0.73	0.81	0.00
1	1	0.00	0.00	3.16	61.06	0.00
1	5	0.00	0.00	0.47	0.81	0.00
2	2	0.00	0.00	2.05	33.17	0.00
2	6	0.00	0.00	0.27	0.89	0.00
3	3	0.00	0.00	0.35	0.99	0.00
3	7	0.00	0.00	0.23	0.99	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.29	7.59	14.35	0.82
0	0	0.03	2.24	53.80	16.11	0.00
0	4	0.00	0.09	0.90	0.40	6.58
1	1	0.00	0.00	4.80	93.54	0.00
1	5	0.00	0.00	0.30	1.08	0.00
2	2	0.00	0.02	0.20	0.69	0.00
2	6	0.00	0.00	0.19	1.39	0.00
3	3	0.00	0.00	0.19	0.88	0.00
3	7	0.00	0.00	0.37	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.31	8.15	13.77	0.00
0	0	0.01	2.42	57.16	12.77	0.00
0	4	0.00	0.01	1.09	0.00	0.00
1	1	0.00	0.00	1.66	7.97	0.00
1	5	0.00	0.00	0.46	0.69	0.00
2	2	0.00	0.00	3.94	85.66	0.00
2	6	0.00	0.00	0.34	1.38	0.00
3	3	0.00	0.01	0.29	0.89	0.00
3	7	0.00	0.00	0.29	0.78	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.39	7.59	13.70	1.20
0	0	0.01	3.06	52.73	14.81	0.00
0	4	0.00	0.05	1.20	0.30	9.53
1	1	0.00	0.00	0.26	0.89	0.00
1	5	0.00	0.00	0.10	0.98	0.00
2	2	0.00	0.01	5.51	90.24	0.00
2	6	0.00	0.00	0.40	0.79	0.00
3	3	0.00	0.00	0.14	0.79	0.00
3	7	0.00	0.03	0.38	0.79	0.10
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.32	7.89	14.22	1.31
0	0	0.02	2.50	56.01	13.85	0.00
0	4	0.00	0.02	0.76	0.89	10.49
1	1	0.00	0.00	0.24	0.89	0.00
1	5	0.00	0.02	0.35	0.60	0.00
2	2	0.00	0.00	4.68	93.77	0.00
2	6	0.00	0.00	0.28	1.28	0.00
3	3	0.00	0.00	0.73	1.97	0.00
3	7	0.00	0.00	0.04	0.50	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.03	1.04	8.78	16.99	0.11
0	0	0.09	1.55	35.61	9.53	0.08
0	4	0.07	0.03	1.52	0.11	0.01
1	1	0.04	6.55	27.38	50.50	0.00
1	5	0.00	0.00	0.35	1.18	0.00
2	2	0.00	0.00	2.35	21.32	0.81
2	6	0.00	0.02	0.47	0.69	0.00
3	3	0.00	0.00	1.46	23.27	0.00
3	7	0.01	0.20	1.14	29.32	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.95	9.53	13.34	2.27
0	0	0.00	1.07	12.47	10.89	0.04
0	4	0.00	0.06	1.34	0.00	18.10
1	1	0.05	14.46	55.74	0.00	0.00
1	5	0.00	0.00	0.37	0.71	0.00
2	2	0.00	0.00	0.94	9.54	0.00
2	6	0.00	0.00	0.36	0.69	0.00
3	3	0.00	0.00	4.56	84.66	0.00
3	7	0.00	0.00	0.50	0.20	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	1.91	9.92	13.31	2.77
0	0	0.00	0.94	14.80	9.92	0.13
0	4	0.00	0.01	1.07	0.39	22.05
1	1	0.07	14.31	56.05	0.00	0.00
1	5	0.00	0.00	0.31	0.81	0.00
2	2	0.00	0.01	6.38	92.22	0.00
2	6	0.00	0.00	0.10	1.58	0.00
3	3	0.00	0.00	0.28	0.89	0.00
3	7	0.00	0.00	0.36	0.70	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.55	8.19	14.19	1.28
0	0	0.01	4.41	55.73	11.50	0.00
0	4	0.00	0.01	1.16	1.00	10.25
1	1	0.00	0.00	1.18	4.37	0.00
1	5	0.00	0.00	0.47	1.18	0.00
2	2	0.00	0.00	4.52	89.62	0.00
2	6	0.00	0.00	0.34	1.39	0.00
3	3	0.00	0.01	1.70	2.99	0.00
3	7	0.00	0.00	0.39	1.48	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.34	8.07	13.78	0.82
0	0	0.01	2.63	57.87	11.90	0.00
0	4	0.00	0.04	0.72	0.40	6.56
1	1	0.00	0.00	0.32	0.60	0.00
1	5	0.00	0.00	0.19	0.90	0.00
2	2	0.00	0.00	0.39	1.09	0.00
2	6	0.00	0.00	0.27	0.89	0.00
3	3	0.00	0.00	4.63	93.77	0.00
3	7	0.00	0.02	0.14	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.30	7.39	14.99	0.37
0	0	0.03	2.33	51.23	18.58	0.00
0	4	0.00	0.01	1.43	0.95	2.03
1	1	0.00	0.00	0.43	1.09	0.00
1	5	0.00	0.02	0.38	1.10	0.00
2	2	0.00	0.00	0.29	1.69	0.00
2	6	0.00	0.00	0.39	1.57	0.00
3	3	0.00	0.00	4.59	93.64	0.00
3	7	0.00	0.00	0.41	1.28	0.90
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.37	8.20	13.86	0.78
0	0	0.01	2.90	56.75	12.66	0.00
0	4	0.00	0.01	0.82	0.61	6.23
1	1	0.00	0.00	0.27	1.48	0.00
1	5	0.00	0.00	0.15	1.09	0.00
2	2	0.00	0.01	5.13	78.07	0.00
2	6	0.00	0.01	1.09	0.78	0.00
3	3	0.00	0.00	0.95	15.74	0.00
3	7	0.00	0.00	0.47	0.49	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.40	8.50	13.40	1.63
0	0	0.11	3.16	59.25	9.95	0.00
0	4	0.00	0.02	1.06	0.20	13.06
1	1	0.00	0.00	0.19	0.70	0.00
1	5	0.00	0.00	0.36	0.69	0.00
2	2	0.00	0.00	4.29	68.13	0.00
2	6	0.00	0.00	0.14	0.40	0.00
3	3	0.00	0.02	2.39	26.28	0.00
3	7	0.00	0.00	0.29	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.47	8.05	13.83	0.35
0	0	0.01	3.75	55.65	11.27	0.00
0	4	0.00	0.01	1.03	0.31	2.78
1	1	0.00	0.01	0.39	5.86	0.00
1	5	0.00	0.00	0.10	0.99	0.00
2	2	0.00	0.00	6.36	89.35	0.00
2	6	0.00	0.00	0.40	0.59	0.00
3	3	0.00	0.00	0.24	1.09	0.00
3	7	0.00	0.00	0.22	1.19	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.31	8.15	14.47	0.19
0	0	0.01	2.41	56.32	13.62	0.00
0	4	0.00	0.07	1.83	0.60	1.51
1	1	0.00	0.00	0.41	4.39	0.00
1	5	0.00	0.00	0.23	0.70	0.00
2	2	0.00	0.00	5.19	93.26	0.00
2	6	0.00	0.00	0.42	1.09	0.00
3	3	0.00	0.00	0.45	0.69	0.00
3	7	0.00	0.00	0.34	1.37	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.42	8.33	14.74	0.26
0	0	0.01	3.23	56.77	12.45	0.00
0	4	0.00	0.11	1.48	0.49	2.10
1	1	0.00	0.00	0.32	8.51	0.00
1	5	0.00	0.00	0.23	1.08	0.00
2	2	0.00	0.01	6.22	92.08	0.00
2	6	0.00	0.00	0.19	0.99	0.00
3	3	0.00	0.00	0.77	1.18	0.00
3	7	0.00	0.00	0.65	1.17	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.30	8.22	13.83	0.20
0	0	0.01	2.32	57.68	12.37	0.00
0	4	0.00	0.01	1.25	0.59	1.62
1	1	0.00	0.00	0.28	0.89	0.00
1	5	0.00	0.00	0.45	0.69	0.00
2	2	0.00	0.00	4.29	94.10	0.00
2	6	0.00	0.01	0.29	0.59	0.00
3	3	0.00	0.03	1.11	0.71	0.00
3	7	0.00	0.00	0.39	0.69	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.04	0.29	8.31	15.61	0.10
0	0	0.02	2.26	55.42	14.68	0.00
0	4	0.00	0.03	2.12	1.19	0.77
1	1	0.29	0.01	1.29	13.74	0.00
1	5	0.00	0.00	0.10	0.78	0.00
2	2	0.00	0.00	5.32	93.09	0.00
2	6	0.00	0.00	0.45	0.50	0.00
3	3	0.00	0.00	0.83	0.29	0.00
3	7	0.00	0.03	0.99	0.57	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	2.01	9.09	12.12	0.41
0	0	0.00	0.47	9.00	2.30	0.00
