Core	CPU	C1%	C3%	C6%	C8%	C9%
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.13	0.97	1.23	0.31
0	0	0.00	0.00	0.25	1.18	0.00
0	4	0.00	0.00	0.62	1.18	0.00
1	1	0.00	0.00	0.39	0.80	0.00
1	5	0.00	0.00	0.35	0.89	0.00
2	2	0.00	0.00	0.35	0.79	0.00
2	6	0.00	0.04	0.35	1.25	0.00
3	3	0.00	0.00	0.59	1.00	0.00
3	7	0.09	1.03	4.88	2.76	2.51
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.19	0.52	0.69	0.00
0	0	0.00	0.02	0.38	0.62	0.00
0	4	0.00	0.00	0.29	1.00	0.00
1	1	0.00	0.00	0.66	0.61	0.00
1	5	0.00	0.00	0.36	0.89	0.00
2	2	0.00	0.00	0.84	0.79	0.00
2	6	0.00	0.02	1.21	0.49	0.00
3	3	0.00	0.00	0.44	1.10	0.00
3	7	0.00	1.49	0.00	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.19	0.45	0.86	0.88
0	0	0.00	0.00	0.23	0.89	0.00
0	4	0.00	0.00	0.10	0.80	0.00
1	1	0.00	0.00	0.65	1.08	0.00
1	5	0.00	0.00	0.44	0.79	0.00
2	2	0.00	0.00	0.83	0.79	0.00
2	6	0.00	0.03	1.20	1.68	0.00
3	3	0.00	0.00	0.19	0.90	0.00
3	7	0.00	1.49	0.00	0.00	7.02
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.18	0.44	0.74	7.76
0	0	0.00	0.00	0.29	0.98	0.00
0	4	0.00	0.00	0.26	0.89	0.00
1	1	0.00	0.00	0.44	0.88	0.00
1	5	0.00	0.00	0.67	0.69	0.00
2	2	0.00	0.00	0.49	0.79	0.00
2	6	0.00	0.00	0.59	0.99	0.00
3	3	0.00	0.00	0.67	0.70	0.00
3	7	0.00	1.48	0.11	0.00	62.08
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.20	0.33	0.76	0.00
0	0	0.00	0.00	0.36	0.88	0.00
0	4	0.00	0.00	0.24	0.69	0.00
1	1	0.00	0.01	0.38	0.50	0.00
1	5	0.00	0.00	0.27	0.98	0.00
2	2	0.00	0.00	0.37	0.88	0.00
2	6	0.00	0.02	0.55	1.24	0.00
3	3	0.00	0.02	0.48	0.90	0.00
3	7	0.00	1.57	0.00	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.18	0.45	0.90	0.00
0	0	0.00	0.02	0.55	1.30	0.00
0	4	0.00	0.00	0.10	0.99	0.00
1	1	0.00	0.00	0.45	0.79	0.00
1	5	0.00	0.00	0.51	0.88	0.00
2	2	0.00	0.00	0.32	1.19	0.00
2	6	0.00	0.02	0.89	1.17	0.00
3	3	0.00	0.00	0.67	0.90	0.00
3	7	0.00	1.38	0.11	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.12	0.42	0.76	0.00
0	0	0.00	0.00	0.29	0.68	0.00
0	4	0.00	0.00	0.37	0.99	0.00
1	1	0.00	0.00	0.34	0.89	0.00
1	5	0.00	0.00	0.40	0.79	0.00
2	2	0.00	0.00	0.10	0.99	0.00
2	6	0.00	0.01	1.08	1.01	0.00
3	3	0.00	0.00	0.67	0.70	0.00
3	7	0.00	0.99	0.11	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.20	0.38	0.61	1.02
0	0	0.00	0.00	0.36	0.69	0.00
0	4	0.00	0.00	0.57	0.59	0.00
1	1	0.00	0.00	0.00	0.50	0.00
1	5	0.00	0.00	0.19	1.03	0.00
2	2	0.00	0.00	0.44	0.79	0.00
2	6	0.00	0.01	1.14	0.45	0.00
3	3	0.00	0.01	0.30	0.80	0.00
3	7	0.00	1.57	0.00	0.00	8.16
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.08	0.52	0.68	0.00
0	0	0.00	0.00	0.22	0.89	0.00
0	4	0.00	0.00	0.56	0.70	0.00
1	1	0.00	0.00	0.28	0.98	0.00
1	5	0.00	0.00	0.61	0.70	0.00
2	2	0.00	0.00	0.72	0.69	0.00
2	6	0.00	0.02	0.99	0.59	0.00
3	3	0.00	0.00	0.66	0.90	0.00
3	7	0.00	0.60	0.11	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.19	0.42	1.04	0.00
0	0	0.00	0.00	0.50	1.50	0.00
0	4	0.00	0.00	0.86	1.18	0.00
1	1	0.00	0.00	0.14	1.28	0.00
1	5	0.00	0.00	0.16	1.18	0.00
2	2	0.00	0.00	0.10	1.09	0.00
2	6	0.00	0.00	1.18	1.29	0.00
3	3	0.00	0.00	0.35	0.80	0.00
3	7	0.00	1.48	0.11	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.25	0.44	1.01	0.12
0	0	0.00	0.00	0.37	0.89	0.00
0	4	0.00	0.00	0.86	2.19	0.00
1	1	0.00	0.00	0.32	0.20	0.00
1	5	0.00	0.00	0.22	0.50	0.97
2	2	0.00	0.00	0.28	0.89	0.00
2	6	0.00	0.01	0.58	2.60	0.00
3	3	0.00	0.00	0.82	0.80	0.00
3	7	0.00	1.96	0.11	0.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.05	0.79	0.86	0.43
0	0	0.00	0.00	0.56	1.20	0.00
0	4	0.00	0.00	0.04	0.22	0.00
1	1	0.04	0.01	0.00	0.18	0.00
1	5	0.00	0.36	1.42	0.75	2.99
2	2	0.00	0.00	1.24	0.93	0.00
2	6	0.00	0.03	1.15	1.80	0.00
3	3	0.00	0.01	1.39	0.99	0.00
3	7	0.02	0.00	0.55	0.78	0.45
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.63	0.84	0.01
0	0	0.00	0.00	0.35	1.18	0.00
0	4	0.00	0.00	0.62	0.61	0.00
1	1	0.00	0.00	0.88	0.40	0.00
1	5	0.00	0.00	0.94	0.70	0.05
2	2	0.00	0.00	0.35	0.98	0.00
2	6	0.00	0.00	1.14	0.56	0.00
3	3	0.00	0.00	0.47	1.39	0.00
3	7	0.00	0.00	0.27	0.88	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.10	0.00	0.38	0.96	0.00
0	0	0.00	0.00	0.19	0.89	0.00
0	4	0.00	0.00	0.33	0.90	0.00
1	1	0.78	0.00	0.45	0.79	0.00
1	5	0.00	0.00	0.23	1.49	0.00
2	2	0.00	0.01	0.29	0.80	0.00
2	6	0.00	0.02	0.68	0.82	0.00
3	3	0.00	0.00	0.54	0.90	0.00
3	7	0.00	0.00	0.32	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.07	0.36	1.19	0.00
0	0	0.00	0.00	0.36	1.88	0.00
0	4	0.00	0.00	0.73	1.78	0.00
1	1	0.00	0.00	0.12	0.59	0.00
1	5	0.00	0.00	0.11	0.50	0.00
2	2	0.00	0.51	0.16	0.21	0.00
2	6	0.00	0.05	0.62	1.45	0.00
3	3	0.00	0.00	0.40	1.69	0.00
3	7	0.00	0.00	0.38	1.39	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.66	0.42	0.00
0	0	0.00	0.00	0.85	0.41	0.00
0	4	0.00	0.00	0.64	0.00	0.00
1	1	0.00	0.00	0.57	0.39	0.00
1	5	0.00	0.04	0.79	0.40	0.00
2	2	0.00	0.00	0.83	0.30	0.00
2	6	0.00	0.02	0.88	0.37	0.00
3	3	0.00	0.00	0.39	0.78	0.00
