Core	CPU	C1%	C3%	C6%	C8%	C9%
2	2	0.01	0.51	70.06	19.84	0.00
2	6	0.00	0.45	70.58	20.11	0.00
3	3	0.01	0.62	80.11	9.81	0.00
3	7	0.02	2.11	66.11	7.32	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.81	71.67	16.03	0.00
0	0	0.01	1.02	70.36	17.61	0.00
0	4	0.01	0.43	68.68	21.95	0.00
1	1	0.01	0.32	74.60	15.16	0.00
1	5	0.00	0.54	70.07	20.57	0.00
2	2	0.02	0.50	71.78	18.04	0.00
2	6	0.00	0.25	72.18	18.04	0.00
3	3	0.00	0.50	78.80	10.83	0.00
3	7	0.03	2.96	66.74	6.04	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.70	72.30	15.79	0.00
0	0	0.00	0.64	73.59	15.42	0.00
0	4	0.01	0.57	72.92	17.52	0.00
1	1	0.01	0.29	73.70	16.35	0.00
1	5	0.00	0.47	70.26	20.49	0.00
2	2	0.01	0.54	69.40	20.47	0.00
2	6	0.00	0.36	71.38	19.30	0.00
3	3	0.00	0.56	79.75	10.22	0.00
3	7	0.01	2.19	66.97	6.46	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.72	71.86	16.08	0.00
0	0	0.00	0.55	74.95	13.97	0.00
0	4	0.01	0.78	71.71	18.57	0.00
1	1	0.01	0.36	73.15	16.74	0.00
1	5	0.00	0.44	70.52	20.17	0.00
2	2	0.01	0.45	69.05	20.87	0.00
2	6	0.00	0.33	70.55	20.28	0.00
3	3	0.00	0.46	80.19	9.84	0.00
3	7	0.01	2.40	65.05	8.24	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	1.20	70.19	16.54	0.00
0	0	0.00	0.47	74.00	13.97	0.00
0	4	0.00	2.64	69.33	17.88	0.03
1	1	0.01	0.52	71.78	16.84	0.00
1	5	0.00	0.38	68.99	20.84	0.00
2	2	0.00	0.44	67.82	20.68	0.00
2	6	0.00	0.40	68.70	21.87	0.00
3	3	0.01	0.57	78.19	11.53	0.00
3	7	0.01	4.15	62.60	8.63	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.70	72.12	15.83	0.00
0	0	0.00	0.53	72.14	16.87	0.00
0	4	0.00	0.57	70.22	20.31	0.00
1	1	0.01	0.35	77.12	12.68	0.00
1	5	0.00	0.52	71.93	18.76	0.00
2	2	0.01	0.57	71.12	18.76	0.00
2	6	0.00	0.34	70.88	19.97	0.00
3	3	0.01	0.47	78.91	11.12	0.00
3	7	0.01	2.23	65.14	8.29	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.90	72.32	15.63	0.00
0	0	0.00	0.69	73.01	15.88	0.00
0	4	0.01	1.43	71.70	17.90	0.00
1	1	0.01	0.20	74.31	15.88	0.00
1	5	0.00	0.38	71.66	19.29	0.00
2	2	0.00	0.58	71.29	18.71	0.00
2	6	0.00	0.39	71.29	19.55	0.00
3	3	0.00	0.44	79.28	10.85	0.00
3	7	0.02	3.08	65.78	6.94	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.68	72.16	15.67	0.00
0	0	0.00	0.52	76.03	12.84	0.00
