Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.32	6.34	55.50	10.64	0.03
0	0	0.25	5.45	56.60	11.71	0.00
0	4	0.42	6.28	56.23	10.37	0.00
1	1	0.54	6.10	58.71	10.66	0.00
1	5	0.32	10.56	48.81	5.45	0.21
2	2	0.38	5.58	54.36	11.86	0.06
2	6	0.29	5.57	58.34	10.22	0.00
3	3	0.16	6.38	56.05	11.05	0.00
3	7	0.17	4.71	54.23	13.71	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.55	5.91	54.43	13.67	0.08
0	0	0.21	4.87	58.30	16.48	0.00
0	4	1.11	6.60	55.99	15.59	0.00
1	1	0.72	4.98	51.86	19.52	0.00
1	5	0.59	8.48	50.83	13.62	0.63
2	2	0.54	5.23	57.17	14.90	0.00
2	6	0.25	4.86	48.39	4.38	0.00
3	3	0.54	7.34	59.95	9.54	0.00
3	7	0.46	4.88	53.00	15.32	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.32	8.06	54.95	7.30	0.02
0	0	0.25	8.12	55.28	5.89	0.00
0	4	0.28	7.78	57.16	6.37	0.00
1	1	0.27	6.11	54.58	8.07	0.10
1	5	0.64	12.87	46.73	3.56	0.06
2	2	0.44	7.62	57.28	8.80	0.00
2	6	0.09	7.37	57.95	7.57	0.00
3	3	0.05	6.56	53.09	11.03	0.00
3	7	0.53	8.06	57.56	7.13	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.39	8.00	55.18	6.84	0.10
0	0	0.23	7.84	58.00	6.55	0.00
0	4	0.60	7.51	53.30	10.86	0.00
1	1	0.37	6.60	55.17	9.84	0.00
1	5	0.74	12.41	46.71	4.77	0.19
2	2	0.41	7.93	54.87	6.51	0.40
2	6	0.23	6.60	54.93	7.50	0.20
3	3	0.34	8.10	55.64	4.41	0.00
3	7	0.17	6.98	62.87	4.30	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	10.11	9.09	36.36	4.41	0.05
0	0	11.85	9.51	33.72	3.25	0.01
0	4	9.91	8.59	35.54	4.98	0.13
1	1	9.68	8.23	39.38	4.57	0.00
1	5	9.05	12.03	31.53	3.35	0.22
2	2	9.52	7.94	38.20	6.08	0.00
2	6	9.40	9.46	39.43	4.87	0.02
3	3	9.59	8.12	39.87	4.64	0.00
3	7	11.87	8.89	33.34	3.52	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	9.78	5.64	31.86	6.55	0.03
0	0	10.91	5.21	33.46	5.57	0.01
0	4	9.05	5.63	30.98	8.13	0.01
1	1	10.25	5.77	30.63	6.48	0.00
1	5	10.21	5.91	33.96	3.94	0.11
2	2	10.92	6.43	33.87	4.23	0.00
2	6	8.96	5.31	28.92	9.69	0.02
3	3	8.84	6.51	29.35	9.23	0.00
3	7	9.05	4.34	33.61	5.14	0.11
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	7.70	8.28	38.91	5.36	0.11
0	0	8.41	8.00	39.95	6.45	0.00
0	4	6.74	8.62	40.48	3.41	0.25
1	1	8.15	8.25	36.41	4.80	0.00
1	5	8.24	9.88	36.56	2.56	0.57
2	2	5.80	8.09	40.93	4.73	0.00
2	6	9.34	8.28	36.83	5.81	0.00
3	3	6.89	6.12	40.13	11.36	0.08
3	7	8.01	9.04	40.02	3.75	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	3.10	7.83	40.09	14.17	0.19
0	0	2.89	6.90	44.12	16.97	0.00
0	4	3.00	7.57	33.92	4.66	0.00
1	1	3.74	8.07	41.01	19.85	0.32
1	5	3.75	8.87	42.38	14.21	0.01
2	2	2.84	6.38	35.55	8.82	0.50
2	6	2.72	8.88	43.33	16.46	0.32
3	3	3.06	8.50	41.10	17.54	0.00
3	7	2.83	7.52	39.29	14.81	0.39
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.73	8.19	49.31	7.62	0.05
0	0	2.00	8.51	48.24	6.09	0.00
0	4	1.20	7.53	49.41	8.26	0.00
1	1	2.45	7.02	47.49	8.73	0.00
1	5	1.26	9.62	48.66	9.04	0.14
2	2	1.45	7.58	51.17	7.83	0.00
2	6	1.63	9.06	50.60	6.32	0.00
3	3	1.90	8.54	51.00	5.64	0.00
3	7	1.95	7.68	47.87	9.04	0.25
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	3.86	10.19	43.89	4.66	0.17
0	0	4.07	10.56	42.49	3.24	0.19
0	4	3.62	10.86	44.00	4.55	0.00
1	1	3.22	8.36	48.70	6.43	0.00
1	5	4.16	13.24	33.88	3.87	0.77
2	2	3.34	8.41	49.27	4.80	0.00
2	6	4.34	10.95	44.15	3.86	0.00
3	3	4.14	8.68	42.97	7.78	0.07
3	7	3.98	10.49	45.67	2.76	0.30
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	6.40	9.35	41.75	5.23	0.14
0	0	6.47	8.57	45.09	3.82	0.00
0	4	6.44	9.42	42.01	6.18	0.00
1	1	5.83	8.59	43.23	6.28	0.27
1	5	6.73	12.75	36.76	4.75	0.00
2	2	5.71	8.44	44.43	5.09	0.00
2	6	7.28	9.35	40.48	4.96	0.21
3	3	6.30	8.67	40.75	6.91	0.11
3	7	6.46	9.00	41.28	3.84	0.54
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	3.91	10.78	43.73	4.21	0.05
0	0	4.09	10.89	42.57	2.89	0.00
0	4	3.77	11.64	43.60	5.99	0.00
1	1	4.73	11.03	44.42	4.06	0.00
1	5	3.96	12.30	40.57	3.79	0.38
2	2	4.09	9.78	45.29	5.41	0.00
2	6	4.66	10.55	43.48	3.08	0.00
3	3	2.73	10.14	44.87	5.70	0.00
3	7	3.22	9.89	45.10	2.76	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	2.43	8.82	48.04	4.71	0.18
0	0	1.56	8.52	47.25	5.10	0.00
0	4	1.97	9.14	49.00	4.26	0.16
1	1	2.08	7.75	49.45	6.26	0.00
1	5	2.95	10.25	40.88	3.14	0.80
2	2	2.70	7.81	53.42	5.59	0.00
2	6	2.15	8.77	47.71	4.41	0.01
3	3	2.70	8.99	46.57	4.43	0.00
3	7	3.35	9.31	49.93	4.46	0.43
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	3.56	10.97	46.05	3.23	0.00
0	0	4.62	10.54	45.96	3.39	0.00
0	4	4.05	9.53	48.12	4.79	0.00
1	1	2.38	10.85	49.12	3.80	0.01
1	5	3.45	14.03	41.57	1.44	0.00
2	2	3.07	10.45	47.71	3.25	0.00
2	6	3.48	10.21	46.51	3.24	0.00
3	3	4.09	10.41	43.84	3.72	0.00
3	7	3.36	11.74	45.60	2.25	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	3.56	8.01	40.45	12.57	0.29
0	0	3.61	7.15	36.67	16.75	0.50
0	4	3.39	7.41	42.47	10.96	0.01
1	1	2.75	7.60	44.28	13.72	0.11
1	5	3.93	9.26	41.51	10.94	0.86
2	2	4.23	8.88	38.28	17.41	0.02
2	6	3.03	8.18	42.12	12.77	0.28
3	3	3.17	7.89	36.49	2.80	0.50
3	7	4.37	7.67	41.62	15.18	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	3.29	8.37	48.06	8.99	0.07
0	0	3.56	9.39	49.38	7.71	0.11
