Core	CPU	C1%	C3%	C6%	C8%	C9%
2	6	0.00	0.00	0.37	0.99	0.00
3	3	0.00	0.02	7.07	88.28	0.00
3	7	0.10	0.02	0.91	0.30	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.13	6.44	15.73	0.00
0	0	0.05	1.00	42.20	29.35	0.00
0	4	0.00	0.00	0.75	0.00	0.00
1	1	0.00	0.00	0.34	1.38	0.00
1	5	0.00	0.02	0.51	0.80	0.00
2	2	0.00	0.00	0.26	1.17	0.00
2	6	0.00	0.02	0.28	1.46	0.00
3	3	0.00	0.00	6.89	91.27	0.00
3	7	0.00	0.00	0.25	0.39	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.02	0.22	6.98	15.64	0.11
0	0	0.07	1.68	41.72	29.47	0.00
0	4	0.00	0.00	1.32	1.68	0.90
1	1	0.00	0.00	0.36	1.18	0.00
1	5	0.00	0.00	1.22	1.69	0.00
2	2	0.00	0.02	0.70	0.39	0.00
2	6	0.00	0.02	4.75	33.77	0.00
3	3	0.00	0.00	5.18	56.06	0.00
3	7	0.06	0.01	0.60	0.90	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.06	6.14	16.07	0.00
0	0	0.08	0.49	38.33	33.81	0.00
0	4	0.00	0.00	0.59	0.10	0.00
1	1	0.00	0.00	0.87	0.60	0.00
1	5	0.00	0.00	0.67	1.20	0.00
2	2	0.00	0.00	0.53	1.09	0.00
2	6	0.00	0.00	2.85	32.64	0.00
3	3	0.00	0.00	4.88	58.59	0.00
3	7	0.00	0.00	0.39	0.49	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.25	7.18	18.93	2.39
0	0	0.09	1.69	44.08	27.03	0.00
0	4	0.00	0.00	0.79	0.00	19.14
1	1	0.00	0.04	1.14	3.81	0.00
1	5	0.00	0.00	0.63	1.40	0.00
2	2	0.01	0.18	0.88	29.06	0.00
2	6	0.00	0.06	9.48	88.55	0.00
3	3	0.00	0.02	0.20	0.69	0.00
3	7	0.00	0.00	0.25	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	1.09	0.58	7.18	14.60	2.27
0	0	0.17	2.95	38.35	18.49	0.00
0	4	0.00	0.00	0.68	0.61	14.17
1	1	1.58	0.00	0.96	5.11	0.51
1	5	0.00	0.04	0.66	1.09	3.51
2	2	0.00	0.00	1.03	0.39	0.00
2	6	6.94	1.66	10.94	20.97	0.00
3	3	0.00	0.02	4.29	68.52	0.00
3	7	0.00	0.00	0.49	1.58	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.10	6.58	15.94	0.00
0	0	0.07	0.83	41.13	30.82	0.00
0	4	0.00	0.00	0.96	0.18	0.00
