Core	CPU	C1%	C3%	C6%	C8%	C9%
3	7	0.00	0.00	0.53	0.65	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.02	0.91	4.22	0.00
0	0	0.00	0.00	0.61	1.60	0.00
0	4	0.00	0.00	1.36	1.20	0.00
1	1	0.00	0.00	1.72	0.50	0.00
1	5	0.00	0.02	0.89	0.39	0.00
2	2	0.00	0.00	0.19	0.98	0.00
2	6	0.00	0.00	0.27	0.99	0.00
3	3	0.00	0.00	0.74	0.00	0.00
3	7	0.02	0.17	1.51	28.07	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.54	0.97	0.00
0	0	0.00	0.00	0.35	0.69	0.00
0	4	0.00	0.08	0.67	0.80	0.00
1	1	0.00	0.01	0.20	0.21	0.00
1	5	0.00	0.00	0.30	1.28	0.00
2	2	0.00	0.00	0.63	1.48	0.00
2	6	0.00	0.00	0.43	1.78	0.00
3	3	0.00	0.00	0.69	0.89	0.00
3	7	0.00	0.00	1.04	0.60	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.32	0.71	1.40	0.00
0	0	0.00	0.00	0.23	1.28	0.00
0	4	0.00	0.01	1.14	0.78	0.00
1	1	0.00	0.00	0.85	1.87	0.00
1	5	0.00	0.00	0.55	1.77	0.00
2	2	0.00	0.00	0.83	1.58	0.00
2	6	0.00	0.00	1.19	1.77	0.00
3	3	0.00	2.57	0.13	0.00	0.00
3	7	0.00	0.00	0.75	2.11	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.01	0.42	0.71	0.00
0	0	0.00	0.00	0.10	0.40	0.00
0	4	0.00	0.02	1.07	0.50	0.00
1	1	0.00	0.00	0.35	0.98	0.00
1	5	0.00	0.00	0.33	0.99	0.00
2	2	0.00	0.00	0.37	0.80	0.00
2	6	0.00	0.00	0.29	0.89	0.00
3	3	0.00	0.00	0.46	0.59	0.00
3	7	0.00	0.03	0.38	0.57	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.54	1.28	0.00
0	0	0.00	0.00	0.54	1.30	0.00
0	4	0.00	0.00	1.40	0.85	0.00
1	1	0.00	0.01	0.35	1.28	0.00
1	5	0.00	0.00	0.29	1.47	0.00
2	2	0.00	0.00	0.46	1.09	0.00
2	6	0.00	0.00	0.43	1.29	0.00
3	3	0.00	0.02	0.38	1.10	0.00
3	7	0.00	0.00	0.47	1.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.63	1.14	0.00
0	0	0.00	0.01	0.65	1.29	0.00
0	4	0.00	0.00	0.09	0.41	0.00
1	1	0.00	0.01	0.35	0.81	0.00
1	5	0.00	0.00	1.04	1.39	0.00
2	2	0.00	0.00	1.69	1.40	0.00
2	6	0.00	0.00	0.37	1.40	0.00
3	3	0.00	0.00	0.48	1.29	0.00
3	7	0.00	0.00	0.39	1.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.08	0.01	0.33	0.65	0.15
0	0	0.00	0.01	0.75	0.60	1.23
0	4	0.00	0.00	0.30	0.42	0.00
1	1	0.00	0.02	0.59	0.00	0.00
1	5	0.00	0.00	0.29	0.90	0.00
2	2	0.66	0.01	0.00	0.41	0.00
2	6	0.00	0.00	0.34	0.99	0.00
3	3	0.00	0.01	0.10	0.99	0.00
3	7	0.00	0.00	0.30	0.89	0.00
