Core	CPU	C1%	C3%	C6%	C8%	C9%
0	4	0.01	0.33	70.72	20.06	0.00
1	1	0.02	0.29	71.98	18.12	0.00
1	5	0.00	0.50	70.01	20.71	0.00
2	2	0.01	0.55	71.70	17.97	0.00
2	6	0.00	0.36	69.42	21.26	0.00
3	3	0.00	0.45	81.65	8.28	0.00
3	7	0.02	2.30	66.77	6.67	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.75	71.30	16.43	0.00
0	0	0.00	0.48	75.81	12.29	0.00
0	4	0.00	0.33	70.24	20.70	0.00
1	1	0.01	0.50	73.55	16.35	0.00
1	5	0.01	0.43	70.86	19.60	0.00
2	2	0.01	0.47	68.06	21.31	0.00
2	6	0.00	0.47	69.03	21.79	0.00
3	3	0.01	0.65	78.24	10.97	0.00
3	7	0.01	2.67	64.41	8.40	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.69	72.11	15.29	0.00
0	0	0.00	0.72	71.85	17.23	0.00
0	4	0.00	0.40	70.09	20.90	0.00
1	1	0.00	0.22	77.31	12.61	0.00
1	5	0.00	0.42	71.79	19.27	0.00
2	2	0.01	0.63	70.62	18.74	0.00
2	6	0.00	0.27	70.29	20.76	0.00
3	3	0.08	0.58	78.31	6.38	0.00
3	7	0.02	2.28	66.54	6.38	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.67	71.55	16.39	0.00
0	0	0.01	0.40	75.96	12.91	0.00
0	4	0.00	0.45	70.83	19.95	0.00
1	1	0.01	0.39	72.95	17.03	0.00
1	5	0.00	0.33	69.46	21.47	0.00
2	2	0.00	0.58	70.46	19.27	0.00
2	6	0.00	0.55	70.80	19.85	0.00
3	3	0.00	0.57	78.72	11.02	0.00
3	7	0.01	2.12	63.71	9.77	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.97	69.76	15.93	0.00
0	0	0.00	0.39	72.72	14.36	0.00
0	4	0.01	0.45	69.19	19.59	0.00
1	1	0.01	0.43	72.20	15.54	0.00
1	5	0.00	1.27	69.50	17.84	0.00
2	2	0.00	0.50	68.65	19.35	0.00
2	6	0.00	0.44	68.96	19.22	0.00
3	3	0.00	0.54	75.32	11.83	0.00
3	7	0.02	3.77	61.51	9.74	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.69	72.39	15.75	0.00
0	0	0.01	0.60	75.09	13.69	0.00
0	4	0.01	0.30	70.98	19.86	0.00
1	1	0.01	0.33	73.40	16.72	0.00
1	5	0.00	0.47	69.98	20.89	0.00
2	2	0.00	0.67	71.54	18.24	0.00
2	6	0.00	0.41	71.28	19.49	0.00
3	3	0.00	0.41	80.33	9.58	0.00
3	7	0.02	2.30	65.96	7.42	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.82	72.72	15.23	0.00
