Core	CPU	C1%	C3%	C6%	C8%	C9%
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.21	8.54	3.33	0.00
0	0	0.06	1.65	64.24	20.69	0.00
0	4	0.00	0.00	0.87	0.10	0.00
1	1	0.00	0.00	0.48	2.17	0.01
1	5	0.00	0.03	1.05	0.77	0.00
2	2	0.00	0.02	0.44	0.79	0.00
2	6	0.00	0.00	0.20	1.19	0.00
3	3	0.00	0.00	0.28	0.87	0.00
3	7	0.00	0.00	0.79	0.09	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.24	8.46	3.41	0.00
0	0	0.05	1.92	63.45	20.20	0.00
0	4	0.00	0.00	0.98	0.30	0.00
1	1	0.00	0.01	0.37	1.87	0.00
1	5	0.00	0.00	1.15	0.40	0.00
2	2	0.00	0.00	0.83	1.29	0.00
2	6	0.00	0.02	0.29	1.09	0.00
3	3	0.00	0.00	0.29	1.23	0.00
3	7	0.00	0.00	0.28	0.89	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.01	8.43	3.43	0.00
0	0	0.12	0.05	64.81	22.09	0.00
0	4	0.00	0.00	0.21	0.60	0.00
1	1	0.00	0.00	0.39	0.11	0.00
1	5	0.00	0.00	0.68	0.90	0.00
2	2	0.00	0.00	0.44	0.80	0.00
2	6	0.00	0.00	0.35	0.89	0.00
3	3	0.00	0.00	0.51	1.02	0.00
3	7	0.00	0.00	0.09	1.00	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.03	8.55	3.48	0.00
0	0	0.11	0.21	65.29	21.37	0.00
0	4	0.00	0.00	0.24	0.31	0.00
1	1	0.00	0.00	0.22	0.60	0.00
1	5	0.00	0.00	0.87	0.59	0.00
2	2	0.00	0.00	0.88	1.09	0.00
2	6	0.00	0.00	0.37	1.29	0.00
3	3	0.00	0.06	0.29	1.27	0.00
3	7	0.00	0.00	0.23	1.28	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.07	8.35	3.23	0.00
0	0	0.11	0.50	62.57	20.84	0.00
0	4	0.00	0.00	0.86	0.50	0.00
1	1	0.00	0.00	0.45	0.89	0.00
1	5	0.00	0.03	0.80	0.69	0.00
2	2	0.00	0.02	0.76	0.90	0.00
2	6	0.00	0.00	0.58	0.59	0.00
3	3	0.00	0.00	0.29	0.85	0.00
3	7	0.00	0.00	0.46	0.59	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.01	0.07	8.63	3.69	0.00
0	0	0.11	0.57	64.96	21.36	0.00
